2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
190	Intel Xeon E5-2689 v4	3.1 GHz	10	LGA2011-3	16706	 
191	AMD Ryzen 5 PRO 4650GE	3.3 GHz	6	AM4	16682	 
192	Intel Xeon E5-2686 v3	2.0 GHz	18	LGA2011-v3	16586	 
193	Intel Xeon Gold 6134	3.2 GHz	8	LGA3647	16478	 
194	AMD Ryzen 5 4600GE	3.3 GHz	6	AM4	16377	 
195	AMD EPYC 7232P	3.1 GHz	8	SP3	16365	 
196	Intel Core i9-10885H	2.4 GHz	8	BGA1440	16354	 
197	AMD Ryzen 7 1800X	3.6 GHz	8	AM4	16253	 
198	Intel Xeon E5-2669 v3	2.3 GHz	12	LGA2011-v3	16107	 
199	Intel Xeon Gold 5215	2.5 GHz	10	LGA3647	16058	 
200	Intel Core i7-10700F	2.9 GHz	8	LGA1200	16043	 
201	Intel Xeon E5-4669 v3	2.1 GHz	18	LGA2011-3	16015	 
202	Intel Xeon Gold 5117	2.0 GHz	14	15816	 
203	Intel Core i7-10875H	2.3 GHz	8	BGA1440	15808	 
204	Intel Xeon Silver 4214	2.2 GHz	12	LGA3647	15793	 
205	AMD Ryzen 7 PRO 4750U	1.7 GHz	8	FP6	15786	 
206	Intel Xeon E5-2695 v3	2.3 GHz	14	LGA2011-v3	15773	 
207	Intel Xeon E5-2690 v3	2.6 GHz	12	LGA2011-v3	15738	 
208	AMD Ryzen 7 2700	3.2 GHz	8	AM4	15711	 
209	AMD Ryzen 7 PRO 1700X	3.4 GHz	8	AM4	15697	 
210	Intel Xeon E-2286M	2.4 GHz	8	BGA1440	15685	 
211	Intel Core i9-9980HK	2.4 GHz	8	BGA1440	15613	 
212	Intel Xeon Gold 5118	2.3 GHz	12	LGA3647	15591	 
213	AMD Ryzen 7 1700X	3.4 GHz	8	AM4	15543	 
214	AMD EPYC 7251	2.1 GHz	8	SP3	15542	 
215	Intel Xeon E5-2680 v3	2.5 GHz	12	LGA2011-v3	15427	 
216	Intel Core i5-10600KF	4.1 GHz	6	LGA1200	15369	 
217	Intel Xeon Silver 4214Y	2.2 GHz	12	LGA3647	15248	 
218	AMD Ryzen 7 PRO 2700	3.2 GHz	8	AM4	15223	 
219	Intel Xeon Silver 4210R	2.4 GHz	10	LGA3647	15145	 
220	Intel Xeon D-2166NT	2.0 GHz	12	BGA2518	15105	 
221	Intel Xeon W-1250	3.3 GHz	6	LGA1200	15077	 
222	AMD Ryzen 5 4600H	3.0 GHz	6	FP6	14993	 
223	AMD EPYC 7301	2.2 GHz	16	SP3	14991	 
224	Intel Xeon E5-4667 v3	2.0 GHz	16	LGA2011-3	14948	 
225	Intel Xeon E5-2673 v3	2.4 GHz	12	LGA2011-v3	14933	 
226	Intel Xeon E5-2699A v4	2.4 GHz	22	LGA2011-3	14917	 
227	Intel Core i5-10600K	4.1 GHz	6	LGA1200	14874	 
228	Intel Xeon E5-1681 v3	2.9 GHz	10	LGA2011-v3	14820	 
229	Intel Xeon Silver 4116	2.1 GHz	12	LGA3647	14785	 
230	AMD Ryzen 5 4600U	2.1 GHz	6	FP6	14720	 
231	Intel Xeon E5-2687W v3	3.1 GHz	10	LGA2011-v3	14686	 
232	Intel Core i7-8086K	4.0 GHz	6	LGA1151-2	14681	 
233	Intel Xeon W-2235	3.8 GHz	6	LGA2066	14679	 
234	Intel Core i7-9700KF	3.6 GHz	8	LGA1151-2	14674	 
235	AMD Ryzen 7 2700E	2.8 GHz	8	AM4	14657	 
236	Intel Core i7-9700K	3.6 GHz	8	LGA1151-2	14655	 
237	Intel Xeon E5-2678 v3	2.5 GHz	12	LGA2011-v3	14600	 
238	AMD Ryzen 7 1700	3.0 GHz	8	AM4	14566	 
239	Intel Xeon E-2286G	4.0 GHz	6	LGA1151-2	14530	 
