2020最新CPU性能排行榜天梯图，时时更新，助您更快直观的了解CPU性能排行，如有疑问可**交流！
CTRL+F可查找您要的CPU，选中进行对比。
http://www.360doc.com/content/20/1026/12/39305448_942429466.shtml
   
排行	名称	主频	核心数量	插槽类型	测评得分	对比
1111	Intel Core i3-6100TE	2.7 GHz	2	LGA 1151	3354	 
1112	AMD PRO A8-9600	3.1 GHz	4	AM4	3347	 
1113	AMD A10-8750	3.6 GHz	4	FM2+	3341	 
1114	Intel Core i5-2300	2.8 GHz	4	LGA1155	3336	 
1115	AMD A10-7850K APU	3.7 GHz	4	FM2+	3335	 
1116	AMD Phenom II X6 1405T	3.0 GHz	6	AM2+,AM3	3335	 
1117	Intel Core i7-6560U	2.2 GHz	2	3333	 
1118	AMD A12-9800E	3.1 GHz	4	AM4	3332	 
1119	AMD A10 PRO-7850B APU	3.7 GHz	4	FM2+	3329	 
1120	AMD FX-4150 Quad-Core	4.0 GHz	4	AM3+	3327	 
1121	Intel Xeon D-1520	2.2 GHz	4	BGA 1667	3324	 
1122	Intel Core i3-6100E	2.7 GHz	2	LGA 1151	3315	 
1123	Intel Core i7-975	3.3 GHz	4	LGA1366	3313	 
1124	Intel Xeon E3-1265L	2.4 GHz	4	LGA1155	3311	 
1125	Intel Xeon L5609	1.9 GHz	4	LGA1366	3298	 
1126	Intel Core i7-6498DU	2.5 GHz	2	BGA1356	3293	 
1127	AMD Opteron X3421 APU	2.1 GHz	4	3289	 
1128	AMD FX-9830P	3.0 GHz	4	FP4	3282	 
1129	Intel Xeon W3565	3.2 GHz	4	LGA1366	3281	 
1130	Intel Core i7-6500U	2.5 GHz	2	BGA1356	3273	 
1131	AMD FX-4320	4.0 GHz	4	AM3+	3272	 
1132	Intel Core i5-6300U	2.4 GHz	2	BGA1356	3269	 
1133	AMD A10-7860K	3.6 GHz	4	FM2+	3266	 
1134	Intel Xeon X3480	3.1 GHz	4	LGA1156	3263	 
1135	AMD Opteron 4365 EE	2.0 GHz	8	Socket C32	3263	 
1136	Intel Core i3-4130	3.4 GHz	2	LGA1150	3262	 
1137	AMD FX-4350 Quad-Core	4.2 GHz	4	AM3+	3262	 
1138	Intel Core i5-6360U	2.0 GHz	2	BGA1356	3259	 
1139	Intel Core i7-4578U	3.0 GHz	2	BGA1168	3258	 
1140	Intel Core i7-4610M	3.0 GHz	2	FPGA946,FPGA947	3255	 
1141	AMD A8-8650	3.2 GHz	4	FM2+	3254	 
1142	Intel Core i5-4400E	2.7 GHz	2	BGA1364	3251	 
1143	Intel Core i3-4570T	2.9 GHz	2	LGA1150	3244	 
1144	AMD Athlon Silver 3050U	2.3 GHz	2	FP5	3240	 
1145	AMD FX-4200 Quad-Core	3.3 GHz	4	AM3+	3240	 
1146	Intel Pentium D1508	2.2 GHz	2	BGA1667	3240	 
1147	AMD Phenom II X6 1065T	2.9 GHz	6	AM3	3239	 
1148	Intel Celeron J4125	2.0 GHz	4	BGA1090	3238	 
1149	Intel Core i7-965	3.2 GHz	4	LGA1366	3236	 
1150	AMD A10-7700K APU	3.4 GHz	4	FM2+	3234	 
1151	Intel Xeon W5590	3.3 GHz	4	LGA1366	3234	 
1152	Intel Pentium Gold G5500T	3.2 GHz	2	LGA1151-2	3234	 
1153	Intel Core i5-4570T	2.9 GHz	2	LGA1150	3233	 
1154	Intel Core i7-2635QM	2.0 GHz	4	BGA1224	3232	 
1155	Intel Core i7-960	3.2 GHz	4	LGA1366	3224	 
1156	Intel Core i7-2715QE	2.1 GHz	4	BGA1023	3221	 
1157	Intel Core i5-4310M	2.7 GHz	2	3220	 
1158	Intel Core i3-4170T	3.2 GHz	2	LGA1150	3218	 
1159	Intel Core i5-4330M	2.8 GHz	2	3217	 
1160	Intel Pentium Silver J5005	1.5 GHz	4	BGA1090	3210	 
1161	AMD Phenom II X6 1055T	2.8 GHz	6	AM3	3208	 
1162	AMD Athlon X4 840	3.1 GHz	4	FM2+	3208	 
1163	Intel Xeon L5630	2.1 GHz	4	LGA1366	3206	 
1164	Intel Core i7-880	3.1 GHz	4	LGA1156	3205	 
1165	Intel Core i5-6260U	1.8 GHz	2	BGA1356	3205	 
1166	AMD PRO A10-9700E	3.0 GHz	4	AM4	3195	 
1167	Intel Pentium G4600T	3.0 GHz	2	LGA1151	3185	 
1168	Intel Core i5-2400S	2.5 GHz	4	LGA1155	3182	 
1169	AMD A8-7600 APU	3.1 GHz	4	FM2+	3178	 
1170	Intel Core i7-2675QM	2.2 GHz	4	BGA1224	3168	 
1171	Intel Core i3-4360T	3.2 GHz	2	LGA1150	3164	 
1172	Intel Core i3-4350	3.6 GHz	2	LGA1150	3163	 
1173	Intel Core i5-8200Y	1.3 GHz	2	BGA1515	3161	 
1174	Intel Core i5-4570TE	2.7 GHz	2	LGA1150	3158	 
1175	AMD A8-7670K	3.6 GHz	4	FM2+	3155	 
1176	Intel Atom C3858	2.0 GHz	12	BGA1310	3154	 
1177	AMD A10-9700E	3.0 GHz	4	AM4	3151	 
1178	Intel Core i7-8500Y	1.5 GHz	2	BGA1515	3136	 
1179	AMD PRO A8-8650B	3.2 GHz	4	FM2+	3130	 
1180	Intel Xeon X3470	2.9 GHz	4	LGA1156	3128	 
1181	Intel Core i3-6100H	2.7 GHz	2	LGA 1151	3128	 
1182	AMD A10-6700 APU	3.7 GHz	4	FM2	3123	 
1183	Intel Xeon X5570	2.9 GHz	4	LGA1366	3123	 
1184	AMD FX-4170 Quad-Core	4.2 GHz	4	AM3+	3117	 
1185	Intel Core i7-5650U	2.2 GHz	2	BGA1168	3110	 
1186	Intel Xeon E5-2403 v2	1.8 GHz	4	LGA1356	3106	 
1187	AMD Embedded R-Series RX-421BD	2.1 GHz	4	BGA (FP4)	3103	 
1188	AMD PRO A12-9800E	3.1 GHz	4	AM4	3099	 
1189	Intel Core i3-4330T	3.0 GHz	2	LGA1150	3098	 
1190	Intel Core i7-4600M	2.9 GHz	2	PGA946	3097	 
1191	Intel Core i5-6198DU	2.3 GHz	2	BGA1356	3096	 
1192	AMD FX-870K Quad Core	3.6 GHz	4	3094	 
1193	AMD PRO A10-8770E	2.8 GHz	4	AM4	3094	 
1194	Intel Core i3-4160T	3.1 GHz	2	LGA1150	3092	 
1195	Intel Core i5-4200H	2.8 GHz	2	BGA1364	3087	 
1196	Intel Xeon W3550	3.1 GHz	4	LGA1366	3081	 
1197	AMD Opteron X3418 APU	1.8 GHz	4	3074	 
1198	Intel Core i7-950	3.1 GHz	4	LGA1366	3073	 
1199	AMD A10-6800K APU	4.1 GHz	4	FM2	3068	 
1200	Intel Core i7-940	2.9 GHz	4	LGA1366	3064	 
1201	AMD A10-7800 APU	3.5 GHz	4	FM2+	3064	 
1202	AMD Opteron 2435	2.6 GHz	6	F (1207)	3061	 
1203	Intel Core i7-5600U	2.6 GHz	2	BGA1168	3056	 
1204	AMD A8-6600K APU	3.9 GHz	4	FM2	3050	 
1205	Intel Core i5-L16G7	1.4 GHz	5	-CSP1016	3049	 
1206	Intel Xeon E5-2637	3.0 GHz	2	LGA2011	3049	 
1207	Intel Xeon X3460	2.8 GHz	4	LGA1156	3043	 
1208	Intel Core i5-4300M	2.6 GHz	2	PGA946	3039	 
1209	Intel Core m3-8100Y	1.1 GHz	2	BGA1515	3034	 
1210	Intel Core i7-870	2.9 GHz	4	LGA1156	3031	 
1211	Intel Core i7-875K	2.9 GHz	4	LGA1156	3028	 
1212	Intel Core i5-6200U	2.3 GHz	2	BGA1356	3027	 
1213	AMD FX-8800P	2.1 GHz	4	FP4	3018	 
1214	Intel Core i5-4278U	2.6 GHz	2	BGA1168	3016	 
1215	AMD A10-5800B APU	3.8 GHz	4	FM2	3014	 
1216	AMD PRO A12-8870E	2.9 GHz	4	AM4	3014	 
1217	Intel Xeon X5550	2.7 GHz	4	LGA1366	3010	 
1218	Intel Core i5-3380M	2.9 GHz	2	PGA988, BGA1	3006	 
1219	AMD A10 PRO-7800B APU	3.5 GHz	4	FM2+	3003	 
1220	Intel Pentium G4560T	2.9 GHz	2	LGA1151	3000	 
1221	Intel Celeron J4105	1.5 GHz	4	BGA1090	2998	 
1222	AMD PRO A8-8670E	2.8 GHz	4	AM4	2989	 
1223	Intel Core i5-2405S	2.5 GHz	4	LGA1155	2980	 
1224	Intel Core i5-7Y57	1.2 GHz	2	BGA1515	2979	 
1225	Intel Xeon X5560	2.8 GHz	4	LGA1366	2973	 
1226	Intel Core i5-3470T	2.9 GHz	2	LGA1155	2967	 
1227	Intel Xeon W3530	2.8 GHz	4	LGA1366	2966	 
1228	AMD PRO A10-8750B	3.6 GHz	4	FM2+	2962	 
1229	Intel Core i7-5550U	2.0 GHz	2	BGA1168	2962	 
1230	Intel Core i5-3360M	2.8 GHz	2	BGA1023	2955	 
1231	Intel Core i7-4560U	1.6 GHz	2	2950	 
1232	Intel Core i5-5257U	2.7 GHz	2	BGA1168	2949	 
1233	AMD A10-9630P	2.6 GHz	4	FP4	2947	 
1234	Intel Core i7-3540M	3.0 GHz	2	rPGA988B	2947	 
1235	Intel Core i3-3245	3.4 GHz	2	LGA1155	2946	 
1236	Intel Pentium G4520	3.6 GHz	2	LGA1151	2942	 
1237	AMD Opteron 2431	2.4 GHz	6	F (1207)	2936	 
1238	Intel Core i7-930	2.8 GHz	4	LGA1366	2929	 
1239	AMD Phenom II X6 1045T	2.7 GHz	6	AM3	2926	 
1240	Intel Xeon E5-2603 v2	1.8 GHz	4	LGA 2011	2921	 
1241	Intel Core i7-4558U	2.8 GHz	2	BGA1168	2917	 
1242	AMD A10-5800K APU	3.8 GHz	4	FM2	2910	 
1243	Intel Core i5-8210Y	1.6 GHz	2	BGA1515	2905	 
1244	AMD A8-7650K	3.3 GHz	4	FM2+	2901	 
1245	AMD Athlon X4 830	3.0 GHz	4	FM2+	2901	 
1246	AMD A8-6500B APU	3.5 GHz	4	FM2	2897	 
1247	Intel Core i7-860	2.8 GHz	4	LGA1156	2893	 
1248	Intel Core i5-6267U	2.9 GHz	2	BGA1356	2891	 
1249	AMD A10-6790K APU	4.0 GHz	4	FM2	2891	 
1250	Intel Xeon W3540	2.9 GHz	4	LGA1366	2890	 
1251	AMD Athlon X4 760K Quad Core	3.8 GHz	4	FM2	2889	 
1252	Intel Core i5-7Y54	1.2 GHz	2	BGA1515	2888	 
1253	Intel Core i3-4350T	3.1 GHz	2	LGA1150	2888	 
1254	AMD FX-4300 Quad-Core	3.8 GHz	4	AM3+	2883	 
1255	Intel Core i3-7130U	2.7 GHz	2	BGA1356	2880	 
1256	AMD Phenom II X6 1075T	3.0 GHz	6	AM3	2879	 
1257	Intel Pentium G4500	3.5 GHz	2	LGA1151	2877	 
1258	Intel Xeon E5-2609	2.4 GHz	4	LGA2011	2874	 
1259	AMD Opteron 4184	2.8 GHz	6	C32	2872	 
1260	Intel Celeron G5905	3.5 GHz	2	LGA1200	2862	 
1261	AMD Phenom II X6 1035T	2.6 GHz	6	AM3	2858	 
1262	AMD FX-7600P APU	2.7 GHz	4	FP3	2856	 
1263	Intel Core i7-3520M	2.9 GHz	2	BGA1023	2841	 
1264	Intel Core i5-4210M	2.6 GHz	2	PGA946	2840	 
1265	Intel Core i3-4130T	2.9 GHz	2	LGA1150	2834	 
1266	AMD Opteron 6128	2.0 GHz	8	G34	2826	 
1267	Intel Core i5-4308U	2.8 GHz	2	BGA1364	2825	 
1268	AMD Opteron 3350 HE	2.8 GHz	4	2825	 
1269	Intel Core i5-4200M	2.5 GHz	2	PGA946	2818	 
1270	AMD A12-9730P	2.8 GHz	4	FP4	2815	 
1271	Intel Core i5-24050S	2.5 GHz	4	LGA1155, LGA11	2799	 
1272	Intel Xeon W3520	2.7 GHz	4	LGA1366	2789	 
1273	Intel Core i7-870S	2.7 GHz	4	LGA1156	2786	 
1274	Intel Core i5-3340M	2.7 GHz	2	BGA1023	2782	 
1275	Intel Core2 Extreme X9775	3.2 GHz	4	LGA771	2780	 
1276	AMD FX-670K Quad-Core	3.7 GHz	4	FM2	2762	 
1277	Intel Core 860	2.8 GHz	4	2754	 
1278	Intel Core i5-4210H	2.9 GHz	2	BGA1364	2754	 
1279	Intel Celeron J4115	1.8 GHz	4	2753	 
1280	AMD Phenom II X4 980	3.7 GHz	4	AM3	2748	 
1281	Intel Core m3-7Y32	1.1 GHz	2	BGA1515	2742	 
1282	Intel Core i5-2500T	2.3 GHz	4	LGA1155	2741	 
1283	Intel Celeron G5900	3.4 GHz	2	LGA1200	2737	 
1284	Intel Core i7-7Y75	1.3 GHz	2	BGA1515	2736	 
1285	Intel Core i7-920	2.7 GHz	4	LGA1366	2733	 
1286	Intel Core i5-5300U	2.3 GHz	2	BGA1168	2731	 
1287	AMD 3020e	1.2 GHz	2	2727	 
1288	Intel Core i3-4150T	3.0 GHz	2	LGA1150	2726	 
1289	AMD Athlon X4 750K Quad Core	3.4 GHz	4	FM2	2726	 
1290	Intel Core i7-860S	2.5 GHz	4	LGA1156	2725	 
1291	Intel Core i7-5500U	2.4 GHz	2	BGA1168	2722	 
1292	Intel Xeon E5-2407	2.2 GHz	4	LGA 1356	2719	 
1293	AMD A6-9400	2.4 GHz	2	FT4	2717	 
1294	Intel Core i3-7100U	2.4 GHz	2	BGA1356	2714	 
1295	Intel Xeon X3450	3.2 GHz	4	LGA1156	2711	 
1296	AMD A8-5600K APU	3.6 GHz	4	FM2	2710	 
1297	AMD A8 PRO-7600B APU	3.1 GHz	4	FM2+	2707	 
1298	Intel Xeon X5492	3.4 GHz	4	LGA771	2705	 
1299	AMD Athlon X4 740 Quad Core	3.2 GHz	4	FM2	2695	 
1300	Intel Xeon E3-1220L V2	2.3 GHz	2	LGA1155	2687	 
1301	Intel Xeon E5607	2.3 GHz	4	LGA1366	2686	 
1302	AMD Phenom II X4 975	3.6 GHz	4	AM3	2684	 
1303	AMD A12-9720P	2.7 GHz	4	FP4	2681	 
1304	Intel Core i5-4402E	1.6 GHz	2	BGA1364	2681	 
1305	AMD 3015e	1.2 GHz	2	2678	 
1306	Intel Core i3-6157U	2.4 GHz	2	BGA1356	2668	 
1307	Intel Core i5-5350U	1.8 GHz	2	BGA1168	2667	 
1308	AMD A8-5500B APU	3.2 GHz	4	FM2	2667	 
1309	Intel Core i7-4600U	2.1 GHz	2	BGA1168	2665	 
1310	AMD A10-5700 APU	3.4 GHz	4	FM2	2664	 
1311	Intel Pentium Silver N5000	1.1 GHz	4	BGA1090	2662	 
1312	Intel Xeon X3440	2.9 GHz	4	LGA1156	2656	 
1313	Intel Core i3-3250T	3.0 GHz	2	LGA1155	2650	 
1314	Intel Core i5-4258U	2.4 GHz	2	BGA1168	2648	 
1315	Intel Xeon E5540	2.5 GHz	4	LGA1366	2644	 
1316	AMD A8-6500 APU	3.5 GHz	4	FM2	2643	 
1317	AMD Phenom II X4 970	3.5 GHz	4	AM3	2642	 
1318	Intel Xeon X5482	3.2 GHz	4	LGA771	2636	 
1319	AMD FirePro A320 APU	3.8 GHz	4	FM2	2634	 
1320	Intel Xeon E5520	2.3 GHz	4	LGA1366	2633	 
1321	Intel Core i7-4510U	2.0 GHz	2	BGA1168	2628	 
1322	AMD FX-4130 Quad-Core	3.8 GHz	4	AM3+	2627	 
1323	AMD PRO A10-9700B	2.5 GHz	4	FP4	2626	 
1324	Intel Xeon X5470	3.3 GHz	4	LGA771	2625	 
1325	Intel Core i5-3610ME	2.7 GHz	2	BGA1023	2623	 
1326	Intel Core2 Extreme X9770	3.2 GHz	4	LGA775	2622	 
1327	Intel Core i5-3320M	2.6 GHz	2	BGA1023	2621	 
1328	Intel Core i3-6100U	2.3 GHz	2	BGA1356	2619	 
1329	Intel Core i3-5157U	2.5 GHz	2	BGA1168	2613	 
1330	Intel Xeon E5530	2.4 GHz	4	LGA1366	2610	 
1331	Intel Core m3-7Y30	1.0 GHz	2	BGA1515	2610	 
1332	AMD A10-9620P	2.5 GHz	4	2607	 
1333	Intel Pentium G4400	3.3 GHz	2	LGA1151	2600	 
1334	Intel Celeron G4930	3.2 GHz	2	LGA1151-2	2597	 
1335	Intel Pentium Silver N5030	1.1 GHz	4	BGA1090	2592	 
1336	Intel Core i5-760	2.8 GHz	4	LGA1156	2589	 
1337	AMD A8-5500 APU	3.2 GHz	4	FM2	2586	 
1338	Intel Core i3-4110M	2.6 GHz	2	PGA946	2580	 
1339	AMD Phenom II X4 B65	3.4 GHz	4	AM2+/AM3	2576	 
1340	Intel Pentium G4500T	3.0 GHz	2	LGA1151	2562	 
1341	Intel Xeon X5460	3.2 GHz	4	LGA771	2560	 
1342	AMD FX-4100 Quad-Core	3.6 GHz	4	AM3+	2560	 
1343	Intel Core i7-3687U	2.1 GHz	2	BGA1023	2545	 
1344	Intel Core i7-3667U	2.0 GHz	2	BGA1023	2544	 
1345	AMD A10-6800B APU	4.1 GHz	4	FM2	2543	 
1346	Intel Core i3-7020U	2.3 GHz	2	BGA1356	2542	 
1347	AMD Phenom II X4 965	3.4 GHz	4	AM3	2537	 
1348	Intel Core i5-4300U	1.9 GHz	2	BGA1168	2533	 
1349	Intel Xeon L5530	2.4 GHz	4	LGA1366	2522	 
1350	Intel Core i3-7102E	2.1 GHz	2	BGA1440	2521	 
1351	Intel Core i5-680	3.6 GHz	2	LGA1156	2520	 
1352	Intel Xeon E5606	2.1 GHz	4	LGA1366	2519	 
1353	Intel Core2 Extreme X9650	3.0 GHz	4	LGA775	2515	 
1354	Intel Core i7-4500U	1.8 GHz	2	BGA1168	2513	 
1355	Intel Core i5-3230M	2.6 GHz	2	PGA988	2511	 
1356	AMD PRO A12-9800B	2.7 GHz	4	FP4	2503	 
1357	Intel Core i5-5200U	2.2 GHz	2	BGA1168	2502	 
1358	Intel Core i3-4330TE	2.4 GHz	2	LGA1150	2500	 
1359	Intel Core i3-4100M	2.5 GHz	2	PGA946	2500	 
1360	Intel Xeon L7455	2.1 GHz	6	PGA604	2494	 
1361	AMD RX-427BB	2.7 GHz	4	FP3	2486	 
1362	AMD Phenom II X4 B99	3.3 GHz	4	2484	 
1363	Intel Core i5-4260U	1.4 GHz	2	BGA1168	2484	 
1364	AMD PRO A12-8800B	2.1 GHz	4	FP4	2482	 
1365	AMD Opteron 8439 SE	2.8 GHz	6	F (1207)	2479	 
1366	AMD Phenom II X4 B97	3.2 GHz	4	AM2+/AM3	2478	 
1367	Intel Celeron N4100	1.1 GHz	4	BGA1090	2476	 
1368	Intel Core i7-2640M	2.8 GHz	2	BGA1023	2476	 
1369	Intel Xeon E5450	3.0 GHz	4	LGA771	2471	 
1370	AMD FX-7600P	2.7 GHz	4	FP3	2470	 
1371	Intel Xeon E5-2403	1.8 GHz	4	LGA 1356	2464	 
1372	Intel Core i5-4310U	2.0 GHz	2	BGA1168	2463	 
1373	Intel Celeron J3455E	1.5 GHz	4	BGA1296	2457	 
1374	Intel Core i3-2140	3.5 GHz	2	2456	 
1375	Intel Core i5-5250U	1.6 GHz	2	BGA1168	2447	 
1376	Intel Core i7-4610Y	1.7 GHz	2	BGA1168	2446	 
1377	AMD FX-9800P	2.7 GHz	4	2446	 
1378	AMD Athlon II X4 559	3.4 GHz	4	2443	 
1379	Intel Xeon X5450	3.0 GHz	4	LGA771	2437	 
1380	Intel Core m5-6Y57	1.1 GHz	2	BGA1515	2434	 
1381	Intel Core i7-2620M	2.7 GHz	2	BGA1023	2433	 
1382	Intel Core i5-3210M	2.5 GHz	2	PGA988B	2433	 
1383	Intel Xeon E5472	3.0 GHz	4	LGA771	2432	 
1384	Intel Core i5-750	2.7 GHz	4	LGA1156	2430	 
1385	Intel Pentium 6405U	2.4 GHz	2	BGA1528	2430	 
1386	AMD Phenom II X4 955	3.2 GHz	4	AM3	2429	 
1387	Intel Pentium G3470	3.6 GHz	2	LGA1150	2428	 
1388	Intel Core i5-661	3.3 GHz	2	LGA1156	2425	 
1389	Intel Core i5-670	3.5 GHz	2	LGA1156	2423	 
1390	AMD Phenom II X4 B60	3.3 GHz	4	2421	 
1391	Intel Xeon X3370	3.0 GHz	4	LGA775	2419	 
1392	Intel Pentium G4400T	2.9 GHz	2	LGA1151	2419	 
1393	AMD Athlon II X4 553	3.0 GHz	4	2418	 
1394	Intel Celeron G4900	3.1 GHz	2	LGA1151-2	2413	 
1395	AMD Phenom II X4 B55	3.3 GHz	4	AM2+/AM3	2405	 
1396	AMD PRO A10-8730B	2.4 GHz	4	FP4	2403	 
1397	AMD Phenom II X4 850	3.3 GHz	4	AM2+/AM3	2397	 
1398	AMD PRO A12-8830B	2.5 GHz	4	BGA (FP4)	2392	 
1399	AMD Athlon II X4 650	3.2 GHz	4	2390	 
1400	Intel Core i5-3437U	1.9 GHz	2	BGA1023	2389	 
1401	Intel Celeron G3950	3.0 GHz	2	LGA1151	2389	 
1402	Intel Core i7-3537U	2.0 GHz	2	BGA1023	2386	 
1403	AMD Opteron 4170 HE	2.1 GHz	6	C32	2382	 
1404	Intel Xeon L3426	1.9 GHz	4	LGA1156	2381	 
1405	AMD Phenom II X4 977	3.2 GHz	4	2377	 
1406	Intel Core2 Quad Q9650	3.0 GHz	4	LGA775	2375	 
1407	Intel Core i5-2390T	2.7 GHz	2	LGA1155	2372	 
1408	Intel Xeon E5-2603	1.8 GHz	4	LGA 2011	2362	 
1409	Intel Celeron N4120	1.1 GHz	4	BGA1090	2357	 
1410	AMD Athlon II X4 651 Quad-Core	3.0 GHz	4	FM1	2354	 
1411	Intel Core i3-6102E	1.9 GHz	2	BGA1440	2349	 
1412	Intel Core2 Extreme X9750	3.2 GHz	4	2348	 
1413	AMD A8-3870K APU	3.0 GHz	4	FM1	2345	 
1414	AMD Phenom II X4 B35	2.9 GHz	4	AM2+/AM3	2341	 
1415	Intel Xeon X5472	3.0 GHz	4	LGA771	2340	 
1416	Intel Pentium 5405U	2.3 GHz	2	BGA1528	2338	 
1417	Intel Pentium J4205	1.5 GHz	4	BGA1296	2335	 
1418	AMD FX-770K Quad-Core	3.5 GHz	4	FM2+	2334	 
1419	Intel Core i5-660	3.3 GHz	2	LGA1156	2331	 
1420	Intel Core i3-3250	3.5 GHz	2	LGA1155	2326	 
1421	AMD Phenom II X4 840	3.2 GHz	4	AM2+/AM3	2325	 
1422	AMD PRO A8-8600B	1.6 GHz	4	BGA (FP4)	2315	 
1423	AMD Athlon II X4 555	3.2 GHz	4	2310	 
1424	Intel Core i5-2520M	2.5 GHz	2	PGA988B	2309	 
1425	Intel Core i3-5020U	2.2 GHz	2	BGA1168	2309	 
1426	Intel Celeron G3930	2.9 GHz	2	LGA1151	2308	 
1427	Intel Xeon X3380	3.2 GHz	4	LGA775	2308	 
1428	Intel Core i5-3427U	1.8 GHz	2	BGA1023	2306	 
1429	Intel Core i5-4350U	1.4 GHz	2	BGA1168	2305	 
1430	AMD A10-9600P	2.3 GHz	4	FP4	2304	 
1431	AMD Phenom II X4 B70	3.5 GHz	4	AM2+ (938-pin)	2303	 
1432	AMD PRO A8-9600B	2.4 GHz	4	FP4	2299	 
1433	AMD Phenom II X4 840T	2.9 GHz	4	AM2+/AM3	2299	 
1434	Intel Xeon X3350	2.7 GHz	4	LGA775	2297	 
1435	Intel Core i5-4210U	1.7 GHz	2	BGA1168	2288	 
1436	Intel Core i3-6006U	2.0 GHz	2	BGA1356	2287	 
1437	Intel Pentium G3460	3.5 GHz	2	LGA1150	2286	 
1438	Intel Pentium 1403 v2	2.6 GHz	2	2284	 
1439	Intel Celeron G4920	3.2 GHz	2	LGA1151-2	2284	 
1440	AMD Opteron 3260 HE	2.7 GHz	4	AM3+	2283	 
1441	Intel Pentium 4417U	2.3 GHz	2	BGA1356	2282	 
1442	Intel Core i3-3240	3.4 GHz	2	LGA1155	2282	 
1443	AMD Phenom II X4 B95	3.0 GHz	4	AM3	2280	 
1444	Intel Core i7-4650U	1.7 GHz	2	BGA1168	2277	 
1445	Intel Xeon E5462	2.8 GHz	4	LGA771	2272	 
1446	AMD A12-9700P	2.5 GHz	4	FP4	2270	 
1447	Intel Core2 Extreme Q6800	2.9 GHz	4	LGA775	2267	 
1448	Intel Core2 Quad Q9550	2.8 GHz	4	LGA775	2266	 
1449	AMD A8-3850 APU	2.9 GHz	4	FM1	2260	 
1450	Intel Core i5-2540M	2.6 GHz	2	BGA1023	2260	 
1451	AMD A10-8700P	1.8 GHz	4	FP4	2256	 
1452	Intel Celeron G4900T	2.9 GHz	2	LGA1151-2	2255	 
1453	Intel Celeron J3455	1.5 GHz	4	BGA1296	2251	 
1454	AMD Phenom II X4 B40	3.0 GHz	4	2238	 
1455	AMD A8-8600P	1.6 GHz	4	FP4	2231	 
1456	Intel Xeon L5520	2.3 GHz	4	LGA1366	2230	 
1457	AMD A10-6700T APU	2.5 GHz	4	FM2	2224	 
1458	AMD Phenom II X4 945	3.0 GHz	4	AM3	2222	 
1459	Intel Core i5-650	3.2 GHz	2	LGA1156	2220	 
1460	Intel Celeron G3930TE	2.7 GHz	2	LGA1151	2218	 
1461	Intel Xeon L5430	2.7 GHz	4	LGA771	2210	 
1462	Intel Celeron G3900	2.8 GHz	2	LGA1151	2208	 
1463	AMD PRO A10-8700B	1.8 GHz	4	BGA (FP4)	2208	 
1464	AMD Phenom II X4 973	3.2 GHz	4	2204	 
1465	Intel Xeon X3353	2.7 GHz	4	LGA775	2203	 
1466	Intel Core i5-4288U	2.6 GHz	2	BGA1168	2199	 
1467	Intel Celeron G3900T	2.6 GHz	2	2199	 
1468	Intel Xeon X5365	3.0 GHz	4	LGA771	2198	 
1469	Intel Core i3-3220	3.3 GHz	2	LGA1155	2196	 
1470	Intel Core M-5Y71	1.2 GHz	2	BGA1234	2195	 
1471	Intel Pentium G3440	3.3 GHz	2	LGA1150	2193	 
1472	Intel Core i3-21050	3.1 GHz	2	2193	 
1473	AMD Phenom II X4 B50	3.2 GHz	4	AM2+/AM3	2191	 
1474	Intel Xeon E5430	2.7 GHz	4	LGA771	2190	 
1475	Intel Pentium G4400TE	2.4 GHz	2	LGA1151	2190	 
1476	Intel Core i3-3130M	2.6 GHz	2	BGA1023	2189	 
1477	AMD Athlon II X4 635	2.9 GHz	4	AM3	2183	 
1478	Intel Xeon L3360	2.8 GHz	4	LGA775	2182	 
1479	Intel Core i5-4200U	1.6 GHz	2	BGA1168	2179	 
1480	Intel Core i7-920XM	2.0 GHz	4	PGA988B	2178	 
1481	Intel Xeon E5440	2.8 GHz	4	LGA771	2178	 
1482	Intel Atom C2750	2.4 GHz	8	BGA 1283	2174	 
1483	Intel Core m7-6Y75	1.2 GHz	2	BGA1515	2172	 
1484	Intel Core i3-5010U	2.1 GHz	2	BGA1168	2172	 
1485	Intel Xeon X3430	2.4 GHz	4	LGA1156	2169	 
1486	Intel Core i3-2125	3.3 GHz	2	LGA1155	2167	 
1487	Intel Core2 Quad Q9500	2.8 GHz	4	LGA775	2161	 
1488	Intel Core i7-940XM	2.1 GHz	4	PGA988	2158	 
1489	Intel Core i5-3337U	1.8 GHz	2	BGA1023	2157	 
1490	AMD A8-7200P	2.4 GHz	4	FP3	2156	 
1491	Intel Celeron G3920	2.9 GHz	2	LGA1151	2155	 
1492	Intel Core i3-3225	3.3 GHz	2	LGA1155	2154	 
1493	Intel Xeon X3360	2.8 GHz	4	LGA775	2151	 
1494	Intel Core i7-3517UE	1.7 GHz	2	BGA1023	2141	 
1495	AMD Phenom II X4 940	3.0 GHz	4	AM2+	2136	 
1496	AMD Phenom II X4 960T	3.0 GHz	4	AM3	2136	 
1497	Intel Celeron G3930T	2.7 GHz	2	LGA1151	2135	 
1498	AMD Athlon II X4 640	3.0 GHz	4	AM3	2134	 
1499	Intel Pentium 4415U	2.3 GHz	2	BGA1356	2134	 
1500	Intel Core i7-4550U	1.5 GHz	2	BGA1168	2131	 
1501	Intel Core i5-2560M	2.7 GHz	2	2131	 
